Title,Year,IMDb ID,Director,Rating,Votes,Box Office,Budget,Genres,Actors,Languages,Countries
X-Men: Days of Future Past,2014.0,1877832,Bryan Singer,7.9,765945.0,"$748,121,534, 28 Feb 2015","$200,000,000 (estimated)","Action, Adventure, Sci-Fi, Thriller","Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Halle Berry, Nicholas Hoult, Anna Paquin, Elliot Page, Peter Dinklage, Shawn Ashmore","English, Vietnamese, French","United Kingdom, United States, Canada"
If I Stay,2014.0,1355630,R.J. Cutler,6.7,129700.0,"$78,874,843","$11,000,000 (estimated)","Drama, Fantasy, Music, Romance, Sci-Fi","Chloë Grace Moretz, Mireille Enos, Jamie Blackley, Joshua Leonard, Liana Liberato, Stacy Keach, Gabrielle Rose, Jakob Davies, Willa Milner, Aisha Hinds",English,United States
Leviathan,1989.0,97737,George P. Cosmatos,5.8,25227.0,,"$25,000,000 (estimated)","Adventure, Horror, Mystery, Sci-Fi, Thriller","Peter Weller, Richard Crenna, Amanda Pays, Daniel Stern, Ernie Hudson, Michael Carmine, Lisa Eilbacher, Hector Elizondo, Meg Foster, Eugene Lipinski",English,"Italy, United States"
The Purge: Anarchy,2014.0,2975578,James DeMonaco,6.4,167191.0,"$110,602,999","$9,000,000 (estimated)","Action, Horror, Sci-Fi, Thriller","Frank Grillo, Carmen Ejogo, Zach Gilford, Kiele Sanchez, Zoë Soul, Justina Machado, John Beasley, Jack Conley, Noel Gugliemi, Castulo Guerra",English,"United States, France"
Adult World,2013.0,1067765,Scott Coffey,6.1,18975.0,,"$4,000,000 (estimated)","Comedy, Drama","Emma Roberts, Summer Shelton, Chris Riggi, Shannon Woodward, Catherine Lloyd Burns, Reed Birney, Manu Gargi, Patricia Squire, Cloris Leachman, Scott Coffey",English,United States
Batman: Assault on Arkham,2014.0,3139086,"Jay Oliva, Ethan Spaulding",7.4,38681.0,,,"Animation, Action, Adventure, Crime, Fantasy, Sci-Fi, Thriller","Kevin Conroy, Neal McDonough, Hynden Walch, Matthew Gray Gubler, Troy Baker, Eric Bauza, Chris Cox, John DiMaggio, Greg Ellis, Giancarlo Esposito",English,United States
Get on Up,2014.0,2473602,Tate Taylor,6.9,26527.0,,"$30,000,000 (estimated)","Biography, Drama, Music","Chadwick Boseman, Nelsan Ellis, Dan Aykroyd, Viola Davis, Lennie James, Fred Melamed, Craig Robinson, Jill Scott, Octavia Spencer, Josh Hopkins",English,"United Kingdom, United States"
Doraemon: New Nobita's Great Demon-Peko and the Exploration Party of Five,2014.0,3949650,Shinnosuke Yakuwa,6.9,1408.0,"$35,861,856","$33,989,696 (estimated)","Animation, Action, Adventure, Comedy, Family, Fantasy, Mystery, Sci-Fi","Wasabi Mizuta, Megumi Ôhara, Miku Natsume, Tomokazu Seki, Yumi Kakazu, Subaru Kimura, Masashi Hirose, Shihoko Hagino, Katsuhisa Hôki, Yû Kobayashi",Japanese,Japan
Godzilla,2014.0,831387,Gareth Edwards,6.4,452077.0,"$529,076,069","$160,000,000 (estimated)","Action, Adventure, Sci-Fi, Thriller","Aaron Taylor-Johnson, CJ Adams, Ken Watanabe, Bryan Cranston, Elizabeth Olsen, Carson Bolde, Sally Hawkins, Juliette Binoche, David Strathairn, Richard T. Jones","English, Japanese","United States, Japan"
Gun Woman,2014.0,3141912,Kurando Mitsutake,4.8,3446.0,,,"Action, Thriller","Jennifer Mullaney, Matthew Floyd Miller, Dean Simone, Noriaki Kamata, Erika Maki, Tatsuya Nakadai, Marco Antonio Garcia, Mark Laurnoff, Racquel Service, Nina Kate","English, Japanese",Japan
The Town That Dreaded Sundown,2014.0,2561546,Alfonso Gomez-Rejon,5.6,17840.0,,,"Horror, Mystery, Thriller","Addison Timlin, Veronica Cartwright, Anthony Anderson, Travis Tope, Joshua Leonard, Andy Abele, Gary Cole, Edward Herrmann, Ed Lauter, Arabella Field",English,United States
Dolphin Tale 2,2014.0,2978462,Charles Martin Smith,6.4,10004.0,,"$36,000,000 (estimated)","Drama, Family","Harry Connick Jr., Ashley Judd, Nathan Gamble, Kris Kristofferson, Cozi Zuehlsdorff, Morgan Freeman, Austin Stowell, Betzaida Landín, Juliana Harkavy, Austin Highsmith Garces",English,United States
